zip|type|decommissioned|primary_city|acceptable_cities|unacceptable_cities|state|county|timezone|area_codes|world_region|country|latitude|longitude|irs_estimated_population
33070|STANDARD|0|Tavernier||Plantation Key|FL|Monroe County|America/New_York|305, 786|NA|US|25.01|-80.51|5070
33071|STANDARD|0|Coral Springs|Pompano Beach||FL|Broward County|America/New_York|754, 954|NA|US|26.24|-80.27|37520
33072|PO BOX|0|Pompano Beach|||FL|Broward County|America/New_York|754|NA|US|26.23|-80.13|0
33073|STANDARD|0|Pompano Beach|Coconut Creek, Coral Springs, Margate, Parkland||FL|Broward County|America/New_York|561, 754, 954|NA|US|26.3|-80.18|29820
33074|PO BOX|0|Pompano Beach|Lighthouse Point, Lighthouse Pt|Lghthse Point|FL|Broward County|America/New_York|754|NA|US|26.23|-80.13|773
33075|PO BOX|0|Coral Springs|Pompano Beach||FL|Broward County|America/New_York|754|NA|US|26.23|-80.13|651
33076|STANDARD|0|Pompano Beach|Coral Springs, Parkland||FL|Broward County|America/New_York|561, 754, 954|NA|US|26.32|-80.28|41390
33077|PO BOX|0|Pompano Beach|Coral Springs||FL|Broward County|America/New_York|754|NA|US|26.23|-80.13|786
33081|PO BOX|0|Hollywood|||FL|Broward County|America/New_York|754|NA|US|26.02|-80.16|571
33082|PO BOX|0|Pembroke Pines|Pembroke Pnes||FL|Broward County|America/New_York|754|NA|US|26|-80.34|1020
33083|PO BOX|0|Hollywood|||FL|Broward County|America/New_York|754|NA|US|26.02|-80.16|664
33084|PO BOX|0|Hollywood|Pembroke Pines, Pembroke Pnes||FL|Broward County|America/New_York|754|NA|US|26|-80.34|569
33090|PO BOX|0|Homestead|||FL|Miami-Dade County|America/New_York|786|NA|US|25.46|-80.45|1639
33092|PO BOX|0|Homestead|Naranja, Princeton||FL|Miami-Dade County|America/New_York|786|NA|US|25.46|-80.45|841
33093|PO BOX|0|Margate|Coconut Creek, Coconutcreek, Pompano Beach||FL|Broward County|America/New_York|754|NA|US|26.23|-80.13|549
33097|PO BOX|0|Coconut Creek|Pompano Beach||FL|Broward County|America/New_York|754|NA|US|26.23|-80.13|293
33101|PO BOX|0|Miami|||FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.78|-80.2|1259
33102|PO BOX|0|Miami|||FL|Miami-Dade County|America/New_York|786|NA|US|25.77|-80.2|3648
33106|UNIQUE|0|Miami||Skyshop Logistics Inc|FL||America/New_York|786|NA|US|25.84|-80.22|0
33107|UNIQUE|1|Miami||Master Charge|FL|Miami-Dade County|America/New_York|786|NA|US|25.79|-80.31|23
33109|STANDARD|0|Miami Beach|Miami|Fisher Island|FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.76|-80.14|520
33110|UNIQUE|1|Miami||Southern Bell|FL|Miami-Dade County|America/New_York|786|NA|US|25.85|-80.2|303
33111|PO BOX|0|Miami|||FL|Miami-Dade County|America/New_York|786|NA|US|25.77|-80.2|0
33112|UNIQUE|0|Miami||International Service Center|FL|Miami-Dade County|America/New_York|786|NA|US|25.79|-80.38|20
33114|PO BOX|0|Coral Gables|Miami||FL|Miami-Dade County|America/New_York|786|NA|US|25.77|-80.2|1449
33116|PO BOX|0|Miami|||FL|Miami-Dade County|America/New_York|786|NA|US|25.77|-80.2|1042
33119|PO BOX|0|Miami Beach|Miami||FL|Miami-Dade County|America/New_York|786|NA|US|25.77|-80.2|569
33121|UNIQUE|1|Miami||Flagship Banks Of Miami|FL|Miami-Dade County|America/New_York|786|NA|US|25.79|-80.31|25
33122|STANDARD|0|Miami|Doral|Air Mail Facility|FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.81|-80.32|2000
33124|PO BOX|0|Miami|Coral Gables|Univ Of Miami, University Of Miami|FL|Miami-Dade County|America/New_York|786|NA|US|25.77|-80.2|178
33125|STANDARD|0|Miami|||FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.78|-80.24|42080
33126|STANDARD|0|Miami|Doral||FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.78|-80.3|40940
33127|STANDARD|0|Miami|||FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.81|-80.21|22520
33128|STANDARD|0|Miami|||FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.78|-80.2|5350
33129|STANDARD|0|Miami|||FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.75|-80.19|12220
33130|STANDARD|0|Miami|||FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.77|-80.2|23870
33131|STANDARD|0|Miami|||FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.77|-80.18|20640
33132|STANDARD|0|Miami||Seybold|FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.78|-80.18|12900
33133|STANDARD|0|Miami|Coconut Grove, Coral Gables||FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.73|-80.24|29000
33134|STANDARD|0|Miami|Coral Gables|Coconut Grove|FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.75|-80.27|35150
33135|STANDARD|0|Miami|||FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.77|-80.24|26990
33136|STANDARD|0|Miami|||FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.79|-80.2|11670
33137|STANDARD|0|Miami|||FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.82|-80.17|20820
33138|STANDARD|0|Miami|El Portal, Miami Shores||FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.85|-80.18|23240
33139|STANDARD|0|Miami Beach||Fisher Island, Venetian Islands|FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.78|-80.15|27320
33140|STANDARD|0|Miami Beach|Miami|Sunset Island|FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.82|-80.13|17000
33141|STANDARD|0|Miami Beach|Miami, North Bay Village, North Bay Vlg|Normandy, Normandy Isle|FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.85|-80.14|28520
33142|STANDARD|0|Miami|||FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.81|-80.24|43960
33143|STANDARD|0|Miami|Coral Gables, South Miami||FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.7|-80.3|27350
33144|STANDARD|0|Miami|Coral Gables, West Miami|Sweetwater|FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.76|-80.31|22790
33145|STANDARD|0|Miami|Coral Gables|Coral|FL|Miami-Dade County|America/New_York|305, 786|NA|US|25.75|-80.23|25210
