,name,lat,lng,zip
345,Pet Supermarket,30.1875604,-81.62707739999999,32257
346,Pet Supermarket,30.2054568,-81.7591583,32244
347,Pet Supermarket,29.675545,-82.33880669999999,32609
348,Pet Supermarket,30.3175559,-81.4726537,32225
349,Pet Supermarket,29.5540932,-81.22952409999999,32137
350,Pet Supermarket,30.2848241,-81.4610276,32224
351,Pet Creations,30.4515094,-81.63737479999999,32218
352,Pet Supermarket,30.3524532,-81.5812534,32277
353,Pet Supplies Plus Orange Park,30.155529,-81.7490349,32073
354,Pet and Feed Store,30.2473951,-81.7999338,32210
355,Earth Pets Natural Pet Market - San Marco,30.3082793,-81.65425330000001,32207
356,Pet Supermarket,30.1422699,-81.7658136,32065
357,EarthWise Pet,30.2903108,-81.3923713,32250
358,Petco,29.6571701,-82.4156051,32605
359,Pet Supermarket,30.1929248,-81.5487701,32256
360,Pet Supermarket,30.2640955,-81.55840649999999,32216
361,Pet Supermarket,29.187339,-82.1098148,34470
362,Pet Supermarket,30.2848241,-81.4610276,32224
363,Pet Supermarket,30.1875604,-81.62707739999999,32257
364,Pet Supermarket,30.2054568,-81.7591583,32244
365,Pet Supermarket,30.2873056,-81.7213709,32210
366,Pet Supermarket,30.2624511,-81.6237929,32217
367,Pet Supermarket,30.3175559,-81.4726537,32225
368,Pet Supermarket,28.9142272,-81.29114059999999,32763
369,Pet Supermarket,29.1263381,-81.00240389999999,32127
370,Pet Supermarket,30.1929248,-81.5487701,32256
371,Pet Supermarket,29.675545,-82.33880669999999,32609
372,Pet Supermarket,28.9870754,-81.2975503,32720
373,Pet Supermarket,29.8795038,-81.326146,32084
374,Pet Supermarket,30.3524532,-81.5812534,32277
375,Pet Supermarket,29.5540932,-81.22952409999999,32137
376,Pet Supermarket,30.1422699,-81.7658136,32065
377,EarthWise Pet Gainesville,29.6741944,-82.3866566,32606
378,Pet Supermarket,29.26164709999999,-81.02814049999999,32118
379,Pet Supermarket,28.88227779999999,-81.23992229999999,32725
380,Pet Supermarket,30.2624511,-81.6237929,32217
381,Pet Supplies Plus Atlantic Beach,30.3259848,-81.4109848,32233
382,Pet Creations,30.4515094,-81.63737479999999,32218
383,Pet Supermarket,30.2873056,-81.7213709,32210
384,Pet Supermarket,30.2640955,-81.55840649999999,32216
385,Pet Supermarket,29.8795038,-81.326146,32084
386,Pet Supermarket,30.1875604,-81.62707739999999,32257
387,Pet Supermarket,30.2054568,-81.7591583,32244
388,Pet Supermarket,30.3175559,-81.4726537,32225
389,Pet Supermarket,30.2848241,-81.4610276,32224
390,Pet Supermarket,30.3524532,-81.5812534,32277
391,Pet Supplies Plus Orange Park,30.155529,-81.7490349,32073
392,Pet and Feed Store,30.2473951,-81.7999338,32210
393,Earth Pets Natural Pet Market - San Marco,30.3082793,-81.65425330000001,32207
394,Pet Supermarket,30.1422699,-81.7658136,32065
395,Pet Supplies Plus Brunswick,31.2187829,-81.4944343,31520
396,EarthWise Pet,30.2903108,-81.3923713,32250
397,Pet Supermarket,30.1929248,-81.5487701,32256
398,Pet Supermarket,30.2885374,-81.3956323,32250
399,Petco,30.17193219999999,-81.6266911,32223
400,Pet Supermarket,30.2624511,-81.6237929,32217
401,Pet Supplies Plus Atlantic Beach,30.3259848,-81.4109848,32233
402,Pet Creations,30.4515094,-81.63737479999999,32218
403,Pet Supermarket,30.2873056,-81.7213709,32210
404,Pet Supermarket,30.2640955,-81.55840649999999,32216
405,Pet Supermarket,29.8795038,-81.326146,32084
406,Pet Supermarket,30.1875604,-81.62707739999999,32257
407,Pet Supermarket,30.2054568,-81.7591583,32244
408,Pet Supermarket,30.3175559,-81.4726537,32225
409,Pet Supermarket,30.2848241,-81.4610276,32224
410,Pet Supermarket,30.3524532,-81.5812534,32277
411,Pet Supplies Plus Orange Park,30.155529,-81.7490349,32073
412,Pet and Feed Store,30.2473951,-81.7999338,32210
413,Earth Pets Natural Pet Market - San Marco,30.3082793,-81.65425330000001,32207
414,Pet Supermarket,30.1422699,-81.7658136,32065
415,Pet Supplies Plus Brunswick,31.2187829,-81.4944343,31520
416,EarthWise Pet,30.2903108,-81.3923713,32250
417,Pet Supermarket,30.1929248,-81.5487701,32256
418,Pet Supermarket,30.2885374,-81.3956323,32250
419,Petco,30.17193219999999,-81.6266911,32223
420,Pet Supermarket,30.2054568,-81.7591583,32244
421,PetSmart,29.6229983,-82.3805296,32608
422,Pet Supermarket,29.675545,-82.33880669999999,32609
423,PetSmart,30.1995024,-81.82314559999999,32222
424,Pet Supermarket,30.2873056,-81.7213709,32210
425,PetSmart,30.188568,-81.7354083,32073
426,Pet Supermarket,30.1422699,-81.7658136,32065
427,PetSmart,29.1524562,-82.18069539999999,34474
428,Pet Supermarket,29.187339,-82.1098148,34470
429,Pet Supermarket,30.1804526,-82.6671503,32055
430,Pet Supplies Plus Orange Park,30.155529,-81.7490349,32073
431,PetSmart,29.6719119,-82.3878944,32605
432,EarthWise Pet Gainesville,29.6741944,-82.3866566,32606
433,Petsense by Tractor Supply,29.1943796,-82.0882281,34470
434,Pet and Feed Store,30.2473951,-81.7999338,32210
435,PetSmart,30.1813981,-82.6632782,32055
436,Lake City Pets and Supplies & Grooming,30.18679599999999,-82.6527431,32055
437,Earth Pets Natural Pet Market Gainesville,29.6574197,-82.4070868,32607
438,Petsense,30.0621195,-81.8782332,32068
439,Mia’s Blessing Pet Shop,30.2707199,-81.7382075,32210
440,Pet Supermarket,30.2624511,-81.6237929,32217
441,Pet Supermarket,30.2640955,-81.55840649999999,32216
442,Pet Supermarket,30.1875604,-81.62707739999999,32257
443,Pet Supermarket,30.2054568,-81.7591583,32244
444,Pet Supermarket,29.675545,-82.33880669999999,32609
445,Pet Supermarket,30.2873056,-81.7213709,32210
446,Pet Supermarket,29.8795038,-81.326146,32084
447,Pet Supermarket,30.2885374,-81.3956323,32250
448,Pet Supermarket,30.3175559,-81.4726537,32225
449,Pet Supermarket,30.1422699,-81.7658136,32065
450,Pet Supermarket,29.5540932,-81.22952409999999,32137
451,PetSmart,30.19998589999999,-81.5502113,32256
452,PetSmart,30.3274361,-81.5482442,32225
453,PetSmart,30.4763902,-81.6426602,32218
454,Pet Supplies Plus Atlantic Beach,30.3259848,-81.4109848,32233
455,PetSmart,29.6229983,-82.3805296,32608
456,PetSmart,30.2711295,-81.3900309,32250
457,Pet Creations,30.4515094,-81.63737479999999,32218
458,Pet Supermarket,30.2848241,-81.4610276,32224
459,PetSmart,30.1995024,-81.82314559999999,32222
460,Pet Supermarket,30.2624511,-81.6237929,32217
461,Pet Supplies Plus Atlantic Beach,30.3259848,-81.4109848,32233
462,Pet Creations,30.4515094,-81.63737479999999,32218
463,Pet Supermarket,30.2873056,-81.7213709,32210
464,Pet Supermarket,30.2640955,-81.55840649999999,32216
465,Pet Supermarket,29.8795038,-81.326146,32084
466,Pet Supermarket,30.1875604,-81.62707739999999,32257
467,Pet Supermarket,30.2054568,-81.7591583,32244
468,Pet Supermarket,30.3175559,-81.4726537,32225
469,Pet Supermarket,30.2848241,-81.4610276,32224
470,Pet Supermarket,30.3524532,-81.5812534,32277
471,Pet Supplies Plus Orange Park,30.155529,-81.7490349,32073
472,Pet and Feed Store,30.2473951,-81.7999338,32210
473,Earth Pets Natural Pet Market - San Marco,30.3082793,-81.65425330000001,32207
474,Pet Supermarket,30.1422699,-81.7658136,32065
475,Pet Supplies Plus Brunswick,31.2187829,-81.4944343,31520
476,EarthWise Pet,30.2903108,-81.3923713,32250
477,Pet Supermarket,30.1929248,-81.5487701,32256
478,Pet Supermarket,30.2885374,-81.3956323,32250
479,Petco,30.17193219999999,-81.6266911,32223
480,Pet Supermarket,30.2624511,-81.6237929,32217
481,Pet Supplies Plus Atlantic Beach,30.3259848,-81.4109848,32233
482,Pet Supermarket,30.2873056,-81.7213709,32210
483,Pet Supermarket,30.2640955,-81.55840649999999,32216
484,Pet Supermarket,29.8795038,-81.326146,32084
485,Pet Supermarket,30.1875604,-81.62707739999999,32257
486,Pet Supermarket,30.2054568,-81.7591583,32244
487,Pet Supermarket,29.675545,-82.33880669999999,32609
488,Pet Supermarket,29.187339,-82.1098148,34470
489,Pet Supermarket,30.3175559,-81.4726537,32225
490,Pet Supermarket,29.5540932,-81.22952409999999,32137
491,Pet Supermarket,30.2848241,-81.4610276,32224
492,Pet Creations,30.4515094,-81.63737479999999,32218
493,Pet Supermarket,30.3524532,-81.5812534,32277
494,Petco,29.1435119,-82.1877512,34474
495,Pet Supplies Plus Orange Park,30.155529,-81.7490349,32073
