,zip,Total Pop,Median income,Max Pop,Max Inc,Pop Score,Inc Score,latitude,longitude,irs_estimated_population,dogParkScore,petStoreScore,dogParkFinalScore,petStoreFinalScore,ZipScore,primary_city
85,32202,2204,38042,26800,142263,1,3,30.33,-81.65,2350,1017034.0,2619,10,9,6.666666666666667,Jacksonville
86,32641,5406,37083,26800,142263,2,3,29.64,-82.23,11150,102472.0,243,5,3,3.5,Gainesville
87,32206,7027,35313,26800,142263,3,2,30.35,-81.64,13720,843182.0,2427,9,8,6.166666666666667,Jacksonville
88,32254,5265,35295,26800,142263,2,2,30.34,-81.73,11360,657424.0,1951,8,8,5.666666666666667,Jacksonville
89,32601,9015,29059,26800,142263,3,2,29.65,-82.32,9620,233862.0,615,5,5,4.0,Gainesville
90,32209,14492,28534,26800,142263,5,2,30.36,-81.7,27230,772386.0,1939,8,8,6.166666666666667,Jacksonville
91,32603,2043,12894,26800,142263,1,1,29.66,-82.35,1450,199056.0,625,5,5,3.4444444444444446,Gainesville
92,32616,71,0,26800,142263,0,0,29.78,-82.5,3021,96260.0,243,4,3,2.1666666666666665,Alachua
93,32061,19,0,26800,142263,0,0,30.1,-82.49,300,80.0,18,1,1,0.6111111111111112,Lulu
94,32203,0,0,26800,142263,0,0,30.34,-81.67,2203,984826.0,2560,9,9,5.5,Jacksonville
95,32214,0,0,26800,142263,0,0,30.21,-81.68,195,473032.0,2389,6,8,4.222222222222222,Jacksonville
96,32228,0,0,26800,142263,0,0,30.39,-81.4,120,698620.0,1048,8,6,4.333333333333333,Jacksonville
97,32610,0,0,26800,142263,0,0,29.64,-82.34,18,234120.0,641,5,5,3.0555555555555554,Gainesville
98,32612,0,0,26800,142263,0,0,29.64,-82.35,136,238984.0,641,5,5,3.0555555555555554,Gainesville
