,name,lat,lng,zip,parkrating
287,Poochie's Park,30.12608,-81.7985779,32065,1254.0
288,Smokey Bear Park,29.6750577,-82.30560369999999,32609,152.0
289,Haisley Lynch Dog Park,29.6479406,-82.32516,32601,-88.0
290,WEC Dog Park,29.2089855,-82.25528539999999,34482,4.0
291,Love's Dog Park,30.0030442,-82.59833689999999,32025,10.0
292,Dog Park,30.2184483,-81.69518990000002,32212,0.0
293,Keystone Heights Sunrise Park,29.7886302,-82.0435194,32656,130.0
294,Forest Park,29.6365275,-82.3913401,32607,714.0
295,Possum Creek Park,29.7025217,-82.3858223,32653,1952.0
296,Bishopswood Park,30.1939554,-81.7615312,32244,34.0
297,Lynn Park,30.2501654,-81.7959146,32210,46.0
298,Tom Petty Park,29.665235,-82.3203149,32609,1354.0
299,Lakeshore Park,30.2731247,-81.7219399,32210,48.0
300,John Gorrie Dog Park of Riverside Park,30.3182667,-81.6810915,32204,1226.0
301,Tommy Casey Memorial Dog Park,30.7332615,-81.5527161,31558,310.0
302,Veterans Park Dog Park,30.09271619999999,-81.56440669999999,32259,350.0
303,Haisley Lynch Dog Park,29.6479406,-82.32516,32601,-88.0
304,Good dog park,30.4587354,-81.6328316,32218,538.0
305,Must Love Dogs Park,29.607713,-82.40211699999999,32608,460.0
306,South Mandarin Library Park (not off leash dog park),30.1498643,-81.63065019999999,32223,25.0
307,Pawsome Park (Tributary-Residents Only),30.6063747,-81.68729619999999,32097,9.0
308,Freedom Park Dog Park,30.9120318,-83.2523338,31605,402.0
309,Poochie's Park,30.12608,-81.7985779,32065,1254.0
310,Celebration Pointe Dog Park,29.6277321,-82.3981845,32608,76.0
311,Squirrel Ridge Park,29.61278799999999,-82.344039,32608,1184.0
312,Orange Park Dog Park,30.1716272,-81.71474119999999,32073,6.0
313,Love's Dog Park,30.0030442,-82.59833689999999,32025,10.0
314,Angel's Dog Park,30.1132131,-83.5790876,32347,60.0
315,Rivertown Dog Park,30.0366449,-81.62199960000001,32259,2.0
316,Putnam County Dog Park,29.64539329999999,-81.70986889999999,32177,76.0
317,Aberdeen Area Dog Park,30.0802391,-81.5869688,32259,0.0
318,Veterans Park,30.0905917,-81.5689979,32259,1946.0
319,Dog Park,30.8029834,-81.56497379999999,31558,130.0
320,John Gorrie Dog Park of Riverside Park,30.3182667,-81.6810915,32204,1226.0
321,Ed Austin Regional Dog Park,30.3674645,-81.5035142,32225,1294.0
322,Letty Towles Dog Park,29.1647466,-82.09201089999999,34470,902.0
323,Atlantic Beach Dog Park (Members Only),30.3260006,-81.4140236,32233,127.0
324,Tommy Casey Memorial Dog Park,30.7332615,-81.5527161,31558,310.0
325,Veterans Park Dog Park,30.09271619999999,-81.56440669999999,32259,350.0
326,BrewHound Dog Park + Bar,30.3236096,-81.41830139999999,32266,2000.0
327,Haisley Lynch Dog Park,29.6479406,-82.32516,32601,-88.0
328,Good dog park,30.4587354,-81.6328316,32218,538.0
329,Paws Park (member only),30.2835359,-81.406302,32250,264.0
330,Tom Petty Dog Park,29.6635086,-82.3199515,32601,34.0
331,Must Love Dogs Park,29.607713,-82.40211699999999,32608,460.0
332,South Mandarin Library Park (not off leash dog park),30.1498643,-81.63065019999999,32223,25.0
333,Joe Pomar Park,29.9117965,-81.33145139999999,32084,266.0
334,Pawsome Park (Tributary-Residents Only),30.6063747,-81.68729619999999,32097,9.0
335,Palm Coast Dog Park,29.5610255,-81.21014459999999,32137,84.0
336,Poochie's Park,30.12608,-81.7985779,32065,1254.0
337,Celebration Pointe Dog Park,29.6277321,-82.3981845,32608,76.0
338,Eagle Landing Dog Park (Private),30.1475841,-81.8474579,32065,16.0
339,Davis Park Dog Run,30.11500359999999,-81.39871529999999,32081,66.0
340,John Gorrie Dog Park of Riverside Park,30.3182667,-81.6810915,32204,1226.0
341,Ed Austin Regional Dog Park,30.3674645,-81.5035142,32225,1294.0
342,Atlantic Beach Dog Park (Members Only),30.3260006,-81.4140236,32233,127.0
343,Tommy Casey Memorial Dog Park,30.7332615,-81.5527161,31558,310.0
344,Veterans Park Dog Park,30.09271619999999,-81.56440669999999,32259,350.0
345,Riviera Oaks Dog Park,29.2527079,-81.0652032,32117,690.0
346,Love's Dog Park,30.4634218,-81.67398999999999,32218,18.0
347,BrewHound Dog Park + Bar,30.3236096,-81.41830139999999,32266,2000.0
348,Haisley Lynch Dog Park,29.6479406,-82.32516,32601,-88.0
349,Good dog park,30.4587354,-81.6328316,32218,538.0
350,Paws Park (member only),30.2835359,-81.406302,32250,264.0
351,Tom Petty Dog Park,29.6635086,-82.3199515,32601,34.0
352,Must Love Dogs Park,29.607713,-82.40211699999999,32608,460.0
353,South Mandarin Library Park (not off leash dog park),30.1498643,-81.63065019999999,32223,25.0
